timestamp_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_kpa,accel_lp_x_g,accel_lp_y_g,accel_lp_z_g
25965,0.034,-0.050,9.798,0.00,0.00,0.00,100.23,-0.024,0.068,-9.441
25975,0.031,-0.044,9.880,0.00,0.00,0.00,100.23,0.012,0.073,-9.478
25985,0.034,-0.039,9.830,0.00,0.00,0.00,100.23,-0.039,0.068,-9.421
25995,0.040,-0.040,9.829,0.00,0.00,0.00,100.23,-0.009,0.053,-9.468
26005,0.046,-0.053,9.838,0.00,0.00,0.00,100.23,-0.014,0.088,-9.438
26015,0.050,-0.061,9.843,0.00,0.00,0.00,100.23,0.002,0.107,-9.441
26025,0.046,-0.048,9.844,0.00,0.00,0.00,100.23,-0.012,0.098,-9.402
26035,0.045,-0.043,9.843,0.00,0.00,0.00,100.23,-0.019,0.031,-9.433
26045,0.043,-0.047,9.833,0.00,0.00,0.00,100.23,-0.068,0.019,-9.431
26055,0.049,-0.030,9.843,0.00,0.00,0.00,100.23,0.024,0.000,-9.419
26066,0.059,-0.034,9.844,0.00,0.00,0.00,100.23,-0.009,0.107,-9.428
26076,0.049,-0.035,9.841,0.00,0.00,0.00,100.23,-0.014,0.095,-9.436
26086,0.040,-0.050,9.849,0.00,0.00,0.00,100.23,-0.061,0.071,-9.451
26106,0.066,-0.046,9.840,0.00,0.00,0.00,100.23,-0.031,0.073,-9.441
26116,0.041,-0.048,9.851,0.00,0.00,0.00,100.23,-0.068,0.083,-9.433
26126,0.043,-0.033,9.843,0.00,0.00,0.00,100.23,0.007,0.093,-9.443
26136,0.044,-0.037,9.855,0.00,0.00,0.00,100.23,-0.009,0.100,-9.443
26146,0.044,-0.032,9.845,0.00,0.00,0.00,100.23,-0.026,0.044,-9.424
26156,0.045,-0.032,9.817,0.00,0.00,0.00,100.23,-0.029,0.068,-9.424
26168,0.051,-0.041,9.834,0.00,0.00,0.00,100.23,-0.085,0.075,-9.377
26178,0.037,-0.031,9.835,0.00,0.00,0.00,100.23,-0.029,0.053,-9.448
26188,0.055,-0.038,9.849,0.00,0.00,0.00,100.23,-0.022,0.041,-9.409
26198,0.061,-0.043,9.844,0.00,0.00,0.00,100.23,0.002,0.041,-9.470
26208,0.046,-0.050,9.845,0.00,0.00,0.00,100.23,-0.031,0.075,-9.433
